Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Bolivia,2014.0,2386.0346374019,3041.43503118107,178.20880127,128.437100493447,5.76660074579144,47.8,Decreasing
Bolivia,2015.0,2532.41450619948,2996.01289804214,194.92401123,133.651146397123,4.05961041135645,46.7,Decreasing
Bolivia,2016.0,2618.28111304376,3035.8734778704,205.92243958,138.493613869075,3.62321431764138,45.2,Decreasing
Bolivia,2017.0,2764.05701052722,3306.30301176558,212.87913513,142.402953510878,2.8227580554717,44.6,Decreasing
Bolivia,2018.0,2907.08157621495,3500.72642189371,229.22540283,145.638433874571,2.27205987230155,42.6,Decreasing
Bolivia,2019.0,2940.9443192345,3503.8960106182,239.17544556,148.317518475358,1.83954504969026,41.6,Decreasing
Bolivia,2020.0,2652.86074656786,3099.94219044572,246.19775391,149.712803892505,0.940742153381849,43.6,Decreasing
Bolivia,2021.0,2656.57385905118,3384.84486479247,272.95922852,150.816761737338,0.737383721452275,40.9,Decreasing
Bosnia and Herzegovina,2011.0,4300.62730357366,4982.69375768263,457.0,103.67125,3.67125,33.0,Decreasing
Botswana,2009.0,3900.70924620048,5082.93388332404,326.95220947,93.5026184386796,8.02729703109582,60.5,Decreasing
Botswana,2015.0,4758.55927652216,6141.20394726616,358.22320557,132.882567987256,3.06203169580558,53.3,Decreasing
Brazil,2009.0,6936.07526333298,8678.65922498836,719.42651367,95.202981748031,4.88803479876799,53.7,Decreasing
Brazil,2011.0,10260.0808435099,13396.6243566047,1028.0847168,106.636449622131,6.6364496221309,52.9,Decreasing
Brazil,2012.0,9351.31113035426,12521.7213530369,953.703125,112.398549260784,5.40349914036997,53.4,Decreasing
Brazil,2013.0,9456.54424882596,12458.891214816,977.81689453,119.372104441451,6.20431066640101,52.7,Decreasing
Brazil,2014.0,9242.57787173242,12274.9939689363,1013.56842041,126.927212865611,6.32904015516139,52.0,Decreasing
